payment_id,payment_type
146,Bank Transfer(automatic)
147,Mailed Check
148,Electronic Check
149,Bank Transfer(automatic)
150,Credit Card (automatic)
151,Credit Card (automatic)
152,Credit Card (automatic)
153,Mailed Check
154,Mailed Check
155,Electronic Check
156,Mailed Check
157,Bank Transfer(automatic)
158,Electronic Check
159,Electronic Check
160,Credit Card (automatic)
161,Credit Card (automatic)
162,Bank Transfer(automatic)
163,Mailed Check
164,Mailed Check
165,Mailed Check
166,Electronic Check
167,Mailed Check
168,Electronic Check
169,Electronic Check
170,Bank Transfer(automatic)
171,Mailed Check
172,Credit Card (automatic)
173,Electronic Check
174,Electronic Check
175,Electronic Check
176,Electronic Check
177,Mailed Check
178,Bank Transfer(automatic)
179,Mailed Check
180,Credit Card (automatic)
181,Mailed Check
182,Credit Card (automatic)
183,Mailed Check
184,Credit Card (automatic)
185,Bank Transfer(automatic)
186,Mailed Check
187,Mailed Check
188,Credit Card (automatic)
189,Bank Transfer(automatic)
190,Mailed Check
191,Bank Transfer(automatic)
192,Electronic Check
193,Electronic Check
194,Electronic Check
195,Bank Transfer(automatic)
196,Credit Card (automatic)
197,Bank Transfer(automatic)
198,Mailed Check
199,Bank Transfer(automatic)
200,Credit Card (automatic)
201,Electronic Check
202,Electronic Check
203,Bank Transfer(automatic)
204,Electronic Check
205,Electronic Check
206,Electronic Check
207,Bank Transfer(automatic)
208,Electronic Check
209,Electronic Check
210,Electronic Check
211,Bank Transfer(automatic)
212,Credit Card (automatic)
213,Bank Transfer(automatic)
214,Electronic Check
215,Electronic Check
216,Credit Card (automatic)
217,Electronic Check
218,Electronic Check
219,Bank Transfer(automatic)
220,Bank Transfer(automatic)
221,Bank Transfer(automatic)
222,Electronic Check
223,Credit Card (automatic)
224,Bank Transfer(automatic)
225,Credit Card (automatic)
226,Bank Transfer(automatic)
227,Bank Transfer(automatic)
228,Credit Card (automatic)
229,Credit Card (automatic)
230,Bank Transfer(automatic)
231,Bank Transfer(automatic)
232,Mailed Check
233,Bank Transfer(automatic)
234,Mailed Check
235,Electronic Check
236,Electronic Check
237,Electronic Check
238,Mailed Check
239,Mailed Check
240,Credit Card (automatic)
241,Electronic Check
242,Electronic Check
243,Credit Card (automatic)
244,Electronic Check
245,Electronic Check
246,Credit Card (automatic)
247,Credit Card (automatic)
248,Bank Transfer(automatic)
249,Electronic Check
250,Bank Transfer(automatic)
251,Mailed Check
252,Bank Transfer(automatic)
253,Bank Transfer(automatic)
254,Electronic Check
255,Electronic Check
256,Electronic Check
257,Bank Transfer(automatic)
258,Electronic Check
259,Electronic Check
260,Credit Card (automatic)
261,Bank Transfer(automatic)
262,Electronic Check
263,Electronic Check
264,Electronic Check
265,Mailed Check
266,Mailed Check
267,Credit Card (automatic)
268,Electronic Check
269,Credit Card (automatic)
270,Mailed Check
271,Bank Transfer(automatic)
272,Mailed Check
273,Electronic Check
274,Electronic Check
275,Mailed Check
276,Credit Card (automatic)
277,Mailed Check
278,Mailed Check
279,Mailed Check
280,Mailed Check
281,Mailed Check
282,Credit Card (automatic)
283,Bank Transfer(automatic)
284,Mailed Check
285,Mailed Check
286,Mailed Check
287,Bank Transfer(automatic)
288,Credit Card (automatic)
289,Mailed Check
290,Bank Transfer(automatic)
291,Electronic Check
292,Electronic Check
293,Electronic Check
294,Bank Transfer(automatic)
295,Electronic Check
296,Electronic Check
297,Electronic Check
298,Credit Card (automatic)
299,Electronic Check
300,Mailed Check
301,Mailed Check
302,Electronic Check
303,Electronic Check
304,Electronic Check
305,Credit Card (automatic)
306,Electronic Check
307,Bank Transfer(automatic)
308,Bank Transfer(automatic)
309,Mailed Check
310,Electronic Check
311,Electronic Check
312,Credit Card (automatic)
313,Electronic Check
314,Electronic Check
315,Credit Card (automatic)
316,Bank Transfer(automatic)
317,Electronic Check
318,Mailed Check
319,Electronic Check
320,Credit Card (automatic)
321,Credit Card (automatic)
322,Mailed Check
323,Credit Card (automatic)
324,Electronic Check
325,Bank Transfer(automatic)
326,Electronic Check
327,Electronic Check
328,Credit Card (automatic)
329,Mailed Check
330,Mailed Check
331,Credit Card (automatic)
332,Mailed Check
333,Credit Card (automatic)
334,Mailed Check
335,Electronic Check
336,Bank Transfer(automatic)
337,Electronic Check
338,Mailed Check
339,Mailed Check
340,Electronic Check
341,Bank Transfer(automatic)
342,Bank Transfer(automatic)
343,Electronic Check
344,Credit Card (automatic)
345,Credit Card (automatic)
346,Bank Transfer(automatic)
347,Credit Card (automatic)
348,Electronic Check
349,Electronic Check
350,Bank Transfer(automatic)
351,Electronic Check
352,Bank Transfer(automatic)
353,Electronic Check
354,Credit Card (automatic)
355,Mailed Check
356,Electronic Check
357,Mailed Check
358,Electronic Check
359,Bank Transfer(automatic)
360,Mailed Check
361,Mailed Check
362,Electronic Check
363,Mailed Check
364,Electronic Check
365,Bank Transfer(automatic)
366,Mailed Check
367,Bank Transfer(automatic)
368,Electronic Check
369,Bank Transfer(automatic)
370,Bank Transfer(automatic)
371,Mailed Check
372,Credit Card (automatic)
373,Electronic Check
374,Electronic Check
375,Electronic Check
376,Electronic Check
377,Electronic Check
378,Credit Card (automatic)
379,Electronic Check
380,Mailed Check
381,Bank Transfer(automatic)
382,Credit Card (automatic)
383,Bank Transfer(automatic)
384,Mailed Check
385,Credit Card (automatic)
386,Mailed Check
387,Credit Card (automatic)
388,Mailed Check
389,Electronic Check
390,Electronic Check
391,Mailed Check
392,Mailed Check
393,Bank Transfer(automatic)
394,Bank Transfer(automatic)
395,Electronic Check
396,Electronic Check
397,Electronic Check
398,Mailed Check
399,Electronic Check
400,Mailed Check
401,Credit Card (automatic)
402,Mailed Check
403,Credit Card (automatic)
404,Electronic Check
405,Electronic Check
406,Electronic Check
407,Electronic Check
408,Mailed Check
409,Bank Transfer(automatic)
410,Bank Transfer(automatic)
411,Bank Transfer(automatic)
412,Credit Card (automatic)
413,Bank Transfer(automatic)
414,Mailed Check
415,Electronic Check
416,Credit Card (automatic)
417,Mailed Check
418,Electronic Check
419,Electronic Check
420,Electronic Check
421,Electronic Check
422,Bank Transfer(automatic)
423,Electronic Check
424,Bank Transfer(automatic)
425,Credit Card (automatic)
426,Bank Transfer(automatic)
427,Mailed Check
428,Bank Transfer(automatic)
429,Electronic Check
430,Credit Card (automatic)
431,Credit Card (automatic)
432,Mailed Check
433,Mailed Check
434,Electronic Check
435,Credit Card (automatic)
436,Electronic Check
437,Mailed Check
438,Credit Card (automatic)
439,Bank Transfer(automatic)
440,Electronic Check
441,Electronic Check
442,Electronic Check
443,Bank Transfer(automatic)
444,Credit Card (automatic)
445,Bank Transfer(automatic)
446,Electronic Check
447,Electronic Check
448,Mailed Check
449,Bank Transfer(automatic)
450,Electronic Check
451,Electronic Check
452,Credit Card (automatic)
453,Electronic Check
454,Bank Transfer(automatic)
455,Credit Card (automatic)
456,Bank Transfer(automatic)
457,Electronic Check
458,Electronic Check
459,Electronic Check
460,Bank Transfer(automatic)
461,Bank Transfer(automatic)
462,Bank Transfer(automatic)
463,Credit Card (automatic)
464,Credit Card (automatic)
465,Credit Card (automatic)
466,Electronic Check
467,Mailed Check
468,Electronic Check
469,Electronic Check
470,Credit Card (automatic)
471,Bank Transfer(automatic)
472,Electronic Check
473,Mailed Check
474,Mailed Check
475,Electronic Check
476,Bank Transfer(automatic)
477,Mailed Check
478,Bank Transfer(automatic)
479,Mailed Check
480,Electronic Check
481,Credit Card (automatic)
482,Credit Card (automatic)
483,Bank Transfer(automatic)
484,Bank Transfer(automatic)
485,Mailed Check
486,Electronic Check
487,Electronic Check
488,Bank Transfer(automatic)
489,Credit Card (automatic)
490,Mailed Check
491,Electronic Check
492,Bank Transfer(automatic)
493,Bank Transfer(automatic)
494,Electronic Check
495,Credit Card (automatic)
496,Mailed Check
497,Credit Card (automatic)
498,Bank Transfer(automatic)
499,Electronic Check
500,Mailed Check
501,Credit Card (automatic)
502,Mailed Check
503,Mailed Check
504,Bank Transfer(automatic)
505,Electronic Check
506,Electronic Check
507,Electronic Check
508,Bank Transfer(automatic)
509,Mailed Check
510,Mailed Check
511,Electronic Check
512,Credit Card (automatic)
513,Electronic Check
514,Electronic Check
515,Electronic Check
516,Mailed Check
517,Bank Transfer(automatic)
518,Electronic Check
519,Electronic Check
520,Mailed Check
521,Electronic Check
522,Credit Card (automatic)
523,Mailed Check
524,Credit Card (automatic)
525,Credit Card (automatic)
526,Electronic Check
527,Electronic Check
528,Mailed Check
529,Bank Transfer(automatic)
530,Bank Transfer(automatic)
531,Bank Transfer(automatic)
532,Electronic Check
533,Electronic Check
534,Electronic Check
535,Bank Transfer(automatic)
536,Electronic Check
537,Bank Transfer(automatic)
538,Mailed Check
539,Bank Transfer(automatic)
540,Electronic Check
541,Bank Transfer(automatic)
542,Electronic Check
543,Electronic Check
544,Bank Transfer(automatic)
545,Bank Transfer(automatic)
546,Credit Card (automatic)
547,Bank Transfer(automatic)
548,Electronic Check
549,Mailed Check
550,Electronic Check
551,Electronic Check
552,Credit Card (automatic)
553,Bank Transfer(automatic)
554,Credit Card (automatic)
555,Credit Card (automatic)
556,Credit Card (automatic)
557,Electronic Check
558,Credit Card (automatic)
559,Electronic Check
560,Bank Transfer(automatic)
561,Bank Transfer(automatic)
562,Electronic Check
563,Electronic Check
564,Credit Card (automatic)
565,Mailed Check
566,Bank Transfer(automatic)
567,Electronic Check
568,Electronic Check
569,Mailed Check
570,Mailed Check
571,Credit Card (automatic)
572,Electronic Check
573,Credit Card (automatic)
574,Mailed Check
575,Electronic Check
576,Credit Card (automatic)
577,Bank Transfer(automatic)
578,Mailed Check
579,Credit Card (automatic)
580,Bank Transfer(automatic)
581,Bank Transfer(automatic)
582,Credit Card (automatic)
583,Credit Card (automatic)
584,Electronic Check
585,Credit Card (automatic)
586,Electronic Check
587,Electronic Check
588,Credit Card (automatic)
589,Electronic Check
590,Mailed Check
591,Bank Transfer(automatic)
592,Electronic Check
593,Electronic Check
594,Electronic Check
595,Mailed Check
596,Electronic Check
597,Bank Transfer(automatic)
598,Mailed Check
599,Electronic Check
600,Credit Card (automatic)
601,Bank Transfer(automatic)
602,Mailed Check
603,Bank Transfer(automatic)
604,Mailed Check
605,Credit Card (automatic)
606,Mailed Check
607,Credit Card (automatic)
608,Mailed Check
609,Bank Transfer(automatic)
610,Mailed Check
611,Credit Card (automatic)
612,Electronic Check
613,Credit Card (automatic)
614,Bank Transfer(automatic)
615,Mailed Check
616,Electronic Check
617,Mailed Check
618,Electronic Check
619,Mailed Check
620,Bank Transfer(automatic)
621,Electronic Check
622,Credit Card (automatic)
623,Electronic Check
624,Mailed Check
625,Mailed Check
626,Bank Transfer(automatic)
627,Bank Transfer(automatic)
628,Mailed Check
629,Electronic Check
630,Mailed Check
631,Electronic Check
632,Credit Card (automatic)
633,Electronic Check
634,Bank Transfer(automatic)
635,Bank Transfer(automatic)
636,Electronic Check
637,Electronic Check
638,Mailed Check
639,Bank Transfer(automatic)
640,Electronic Check
641,Electronic Check
642,Bank Transfer(automatic)
643,Bank Transfer(automatic)
644,Mailed Check
645,Credit Card (automatic)
646,Bank Transfer(automatic)
647,Electronic Check
648,Electronic Check
649,Electronic Check
650,Electronic Check
651,Electronic Check
652,Bank Transfer(automatic)
653,Mailed Check
654,Electronic Check
655,Mailed Check
656,Mailed Check
657,Credit Card (automatic)
658,Electronic Check
659,Electronic Check
660,Mailed Check
661,Mailed Check
662,Electronic Check
663,Mailed Check
664,Credit Card (automatic)
665,Electronic Check
666,Electronic Check
667,Credit Card (automatic)
668,Electronic Check
669,Mailed Check
670,Mailed Check
671,Mailed Check
672,Bank Transfer(automatic)
673,Electronic Check
674,Bank Transfer(automatic)
675,Credit Card (automatic)
676,Electronic Check
677,Electronic Check
678,Mailed Check
679,Electronic Check
680,Credit Card (automatic)
681,Electronic Check
682,Mailed Check
683,Bank Transfer(automatic)
684,Bank Transfer(automatic)
685,Mailed Check
686,Electronic Check
687,Electronic Check
688,Bank Transfer(automatic)
689,Mailed Check
690,Electronic Check
691,Bank Transfer(automatic)
692,Electronic Check
693,Credit Card (automatic)
694,Electronic Check
695,Electronic Check
696,Electronic Check
697,Bank Transfer(automatic)
698,Mailed Check
699,Bank Transfer(automatic)
700,Credit Card (automatic)
701,Mailed Check
702,Electronic Check
703,Mailed Check
704,Credit Card (automatic)
705,Electronic Check
706,Credit Card (automatic)
707,Mailed Check
708,Electronic Check
709,Electronic Check
710,Mailed Check
711,Electronic Check
712,Electronic Check
713,Electronic Check
714,Credit Card (automatic)
715,Electronic Check
716,Credit Card (automatic)
717,Credit Card (automatic)
718,Mailed Check
719,Electronic Check
720,Mailed Check
721,Bank Transfer(automatic)
722,Mailed Check
723,Electronic Check
724,Electronic Check
725,Electronic Check
726,Bank Transfer(automatic)
727,Electronic Check
728,Credit Card (automatic)
729,Credit Card (automatic)
730,Electronic Check
731,Mailed Check
732,Electronic Check
733,Bank Transfer(automatic)
734,Mailed Check
735,Credit Card (automatic)
736,Bank Transfer(automatic)
737,Mailed Check
738,Bank Transfer(automatic)
739,Mailed Check
740,Mailed Check
741,Bank Transfer(automatic)
742,Bank Transfer(automatic)
743,Electronic Check
744,Electronic Check
745,Credit Card (automatic)
746,Bank Transfer(automatic)
747,Mailed Check
748,Bank Transfer(automatic)
749,Electronic Check
750,Electronic Check
751,Bank Transfer(automatic)
752,Electronic Check
753,Bank Transfer(automatic)
754,Bank Transfer(automatic)
755,Bank Transfer(automatic)
756,Mailed Check
757,Credit Card (automatic)
758,Credit Card (automatic)
759,Credit Card (automatic)
760,Electronic Check
761,Credit Card (automatic)
762,Bank Transfer(automatic)
763,Credit Card (automatic)
764,Electronic Check
765,Bank Transfer(automatic)
766,Electronic Check
767,Electronic Check
768,Electronic Check
769,Mailed Check
770,Electronic Check
771,Mailed Check
772,Bank Transfer(automatic)
773,Bank Transfer(automatic)
774,Bank Transfer(automatic)
775,Credit Card (automatic)
776,Mailed Check
777,Credit Card (automatic)
778,Mailed Check
779,Electronic Check
780,Credit Card (automatic)
781,Credit Card (automatic)
782,Credit Card (automatic)
783,Mailed Check
784,Mailed Check
785,Bank Transfer(automatic)
786,Mailed Check
787,Credit Card (automatic)
788,Electronic Check
789,Electronic Check
790,Mailed Check
791,Mailed Check
792,Credit Card (automatic)
793,Credit Card (automatic)
794,Electronic Check
795,Mailed Check
796,Credit Card (automatic)
797,Mailed Check
798,Credit Card (automatic)
799,Electronic Check
800,Electronic Check
801,Bank Transfer(automatic)
802,Electronic Check
803,Credit Card (automatic)
804,Bank Transfer(automatic)
805,Electronic Check
806,Credit Card (automatic)
807,Mailed Check
808,Bank Transfer(automatic)
809,Bank Transfer(automatic)
810,Electronic Check
811,Credit Card (automatic)
812,Electronic Check
813,Bank Transfer(automatic)
814,Mailed Check
815,Credit Card (automatic)
816,Electronic Check
817,Credit Card (automatic)
818,Credit Card (automatic)
819,Mailed Check
820,Mailed Check
821,Mailed Check
822,Mailed Check
823,Mailed Check
824,Credit Card (automatic)
825,Credit Card (automatic)
826,Credit Card (automatic)
827,Electronic Check
828,Bank Transfer(automatic)
829,Electronic Check
830,Bank Transfer(automatic)
831,Electronic Check
832,Bank Transfer(automatic)
833,Credit Card (automatic)
834,Electronic Check
835,Electronic Check
836,Bank Transfer(automatic)
837,Mailed Check
838,Electronic Check
839,Bank Transfer(automatic)
840,Mailed Check
841,Mailed Check
842,Electronic Check
843,Mailed Check
844,Mailed Check
845,Electronic Check
846,Electronic Check
847,Bank Transfer(automatic)
848,Electronic Check
849,Credit Card (automatic)
850,Electronic Check
851,Credit Card (automatic)
852,Electronic Check
853,Electronic Check
854,Electronic Check
855,Bank Transfer(automatic)
856,Bank Transfer(automatic)
857,Credit Card (automatic)
858,Electronic Check
859,Electronic Check
860,Electronic Check
861,Mailed Check
862,Mailed Check
863,Electronic Check
864,Electronic Check
865,Electronic Check
866,Credit Card (automatic)
867,Bank Transfer(automatic)
868,Credit Card (automatic)
869,Mailed Check
870,Mailed Check
871,Credit Card (automatic)
872,Mailed Check
873,Mailed Check
874,Mailed Check
875,Bank Transfer(automatic)
876,Mailed Check
877,Credit Card (automatic)
878,Electronic Check
879,Electronic Check
880,Electronic Check
881,Bank Transfer(automatic)
882,Mailed Check
883,Credit Card (automatic)
884,Electronic Check
885,Electronic Check
886,Mailed Check
887,Credit Card (automatic)
888,Electronic Check
889,Credit Card (automatic)
890,Electronic Check
891,Credit Card (automatic)
892,Bank Transfer(automatic)
893,Electronic Check
894,Credit Card (automatic)
895,Mailed Check
896,Credit Card (automatic)
897,Electronic Check
898,Electronic Check
899,Mailed Check
900,Electronic Check
901,Electronic Check
902,Mailed Check
903,Electronic Check
904,Electronic Check
905,Bank Transfer(automatic)
906,Bank Transfer(automatic)
907,Bank Transfer(automatic)
908,Credit Card (automatic)
909,Bank Transfer(automatic)
910,Bank Transfer(automatic)
911,Mailed Check
912,Electronic Check
913,Mailed Check
914,Credit Card (automatic)
915,Electronic Check
916,Credit Card (automatic)
917,Electronic Check
918,Bank Transfer(automatic)
919,Credit Card (automatic)
920,Electronic Check
921,Credit Card (automatic)
922,Mailed Check
923,Credit Card (automatic)
924,Mailed Check
925,Electronic Check
926,Credit Card (automatic)
927,Electronic Check
928,Bank Transfer(automatic)
929,Mailed Check
930,Mailed Check
931,Bank Transfer(automatic)
932,Electronic Check
933,Bank Transfer(automatic)
934,Mailed Check
935,Electronic Check
936,Mailed Check
937,Mailed Check
938,Electronic Check
939,Bank Transfer(automatic)
940,Electronic Check
941,Credit Card (automatic)
942,Credit Card (automatic)
943,Credit Card (automatic)
944,Electronic Check
945,Mailed Check
946,Bank Transfer(automatic)
947,Mailed Check
948,Credit Card (automatic)
949,Electronic Check
950,Electronic Check
951,Electronic Check
952,Mailed Check
953,Electronic Check
954,Mailed Check
955,Electronic Check
956,Electronic Check
957,Credit Card (automatic)
958,Electronic Check
959,Electronic Check
960,Electronic Check
961,Credit Card (automatic)
962,Credit Card (automatic)
963,Mailed Check
964,Electronic Check
965,Credit Card (automatic)
966,Electronic Check
967,Mailed Check
968,Electronic Check
969,Credit Card (automatic)
970,Bank Transfer(automatic)
971,Credit Card (automatic)
972,Bank Transfer(automatic)
973,Bank Transfer(automatic)
974,Electronic Check
975,Mailed Check
976,Mailed Check
977,Mailed Check
978,Bank Transfer(automatic)
979,Mailed Check
980,Electronic Check
981,Credit Card (automatic)
982,Electronic Check
983,Electronic Check
984,Electronic Check
985,Mailed Check
986,Bank Transfer(automatic)
987,Electronic Check
988,Electronic Check
989,Electronic Check
990,Mailed Check
991,Mailed Check
992,Bank Transfer(automatic)
993,Mailed Check
994,Mailed Check
995,Electronic Check
996,Credit Card (automatic)
997,Mailed Check
998,Electronic Check
999,Mailed Check
1000,Credit Card (automatic)
1001,Bank Transfer(automatic)
1002,Electronic Check
1003,Bank Transfer(automatic)
1004,Electronic Check
1005,Mailed Check
1006,Credit Card (automatic)
1007,Electronic Check
1008,Mailed Check
1009,Electronic Check
1010,Credit Card (automatic)
1011,Electronic Check
1012,Electronic Check
1013,Credit Card (automatic)
1014,Electronic Check
1015,Electronic Check
1016,Mailed Check
1017,Mailed Check
1018,Mailed Check
1019,Electronic Check
1020,Mailed Check
1021,Credit Card (automatic)
1022,Electronic Check
1023,Bank Transfer(automatic)
1024,Bank Transfer(automatic)
1025,Credit Card (automatic)
1026,Bank Transfer(automatic)
1027,Credit Card (automatic)
1028,Mailed Check
1029,Electronic Check
1030,Mailed Check
1031,Electronic Check
1032,Electronic Check
1033,Bank Transfer(automatic)
1034,Electronic Check
1035,Mailed Check
1036,Credit Card (automatic)
1037,Bank Transfer(automatic)
1038,Electronic Check
1039,Bank Transfer(automatic)
1040,Credit Card (automatic)
1041,Electronic Check
1042,Electronic Check
1043,Electronic Check
1044,Mailed Check
1045,Mailed Check
1046,Bank Transfer(automatic)
1047,Electronic Check
1048,Credit Card (automatic)
1049,Bank Transfer(automatic)
1050,Electronic Check
1051,Bank Transfer(automatic)
1052,Bank Transfer(automatic)
1053,Mailed Check
1054,Mailed Check
1055,Mailed Check
1056,Mailed Check
1057,Credit Card (automatic)
1058,Electronic Check
1059,Mailed Check
1060,Electronic Check
1061,Credit Card (automatic)
1062,Electronic Check
1063,Bank Transfer(automatic)
1064,Electronic Check
1065,Mailed Check
1066,Mailed Check
1067,Credit Card (automatic)
1068,Bank Transfer(automatic)
1069,Electronic Check
1070,Mailed Check
1071,Bank Transfer(automatic)
1072,Bank Transfer(automatic)
1073,Bank Transfer(automatic)
1074,Mailed Check
1075,Credit Card (automatic)
1076,Electronic Check
1077,Mailed Check
1078,Bank Transfer(automatic)
1079,Mailed Check
1080,Mailed Check
1081,Electronic Check
1082,Credit Card (automatic)
1083,Mailed Check
1084,Electronic Check
1085,Credit Card (automatic)
1086,Bank Transfer(automatic)
1087,Mailed Check
1088,Electronic Check
1089,Electronic Check
1090,Bank Transfer(automatic)
1091,Credit Card (automatic)
1092,Electronic Check
1093,Bank Transfer(automatic)
1094,Mailed Check
1095,Electronic Check
1096,Bank Transfer(automatic)
1097,Mailed Check
1098,Mailed Check
1099,Bank Transfer(automatic)
1100,Electronic Check
1101,Electronic Check
1102,Mailed Check
1103,Mailed Check
1104,Mailed Check
1105,Mailed Check
1106,Credit Card (automatic)
1107,Electronic Check
1108,Electronic Check
1109,Mailed Check
1110,Credit Card (automatic)
1111,Mailed Check
1112,Bank Transfer(automatic)
1113,Bank Transfer(automatic)
1114,Electronic Check
1115,Bank Transfer(automatic)
1116,Mailed Check
1117,Credit Card (automatic)
1118,Bank Transfer(automatic)
1119,Electronic Check
1120,Mailed Check
1121,Bank Transfer(automatic)
1122,Electronic Check
1123,Mailed Check
1124,Electronic Check
1125,Bank Transfer(automatic)
1126,Electronic Check
1127,Electronic Check
1128,Credit Card (automatic)
1129,Mailed Check
1130,Electronic Check
1131,Bank Transfer(automatic)
1132,Electronic Check
1133,Credit Card (automatic)
1134,Electronic Check
1135,Mailed Check
1136,Credit Card (automatic)
1137,Bank Transfer(automatic)
1138,Mailed Check
1139,Electronic Check
1140,Mailed Check
1141,Electronic Check
1142,Credit Card (automatic)
1143,Bank Transfer(automatic)
1144,Electronic Check
1145,Credit Card (automatic)
1146,Credit Card (automatic)
1147,Mailed Check
1148,Mailed Check
1149,Mailed Check
1150,Electronic Check
1151,Electronic Check
1152,Bank Transfer(automatic)
1153,Mailed Check
1154,Electronic Check
1155,Bank Transfer(automatic)
1156,Bank Transfer(automatic)
1157,Credit Card (automatic)
1158,Credit Card (automatic)
1159,Mailed Check
1160,Bank Transfer(automatic)
1161,Bank Transfer(automatic)
1162,Bank Transfer(automatic)
1163,Credit Card (automatic)
1164,Electronic Check
1165,Electronic Check
1166,Mailed Check
1167,Mailed Check
1168,Electronic Check
1169,Bank Transfer(automatic)
1170,Mailed Check
1171,Bank Transfer(automatic)
1172,Electronic Check
1173,Mailed Check
1174,Credit Card (automatic)
1175,Credit Card (automatic)
1176,Mailed Check
1177,Credit Card (automatic)
1178,Bank Transfer(automatic)
1179,Electronic Check
1180,Mailed Check
1181,Electronic Check
1182,Electronic Check
1183,Credit Card (automatic)
1184,Electronic Check
1185,Mailed Check
1186,Electronic Check
1187,Mailed Check
1188,Electronic Check
1189,Electronic Check
1190,Electronic Check
1191,Mailed Check
1192,Electronic Check
1193,Electronic Check
1194,Credit Card (automatic)
1195,Electronic Check
1196,Mailed Check
1197,Electronic Check
1198,Credit Card (automatic)
1199,Bank Transfer(automatic)
1200,Bank Transfer(automatic)
1201,Mailed Check
1202,Bank Transfer(automatic)
1203,Mailed Check
1204,Credit Card (automatic)
1205,Electronic Check
1206,Bank Transfer(automatic)
1207,Electronic Check
1208,Bank Transfer(automatic)
1209,Bank Transfer(automatic)
1210,Bank Transfer(automatic)
1211,Bank Transfer(automatic)
1212,Credit Card (automatic)
1213,Electronic Check
1214,Bank Transfer(automatic)
1215,Credit Card (automatic)
1216,Bank Transfer(automatic)
1217,Mailed Check
1218,Bank Transfer(automatic)
1219,Electronic Check
1220,Electronic Check
1221,Bank Transfer(automatic)
1222,Mailed Check
1223,Electronic Check
1224,Electronic Check
1225,Credit Card (automatic)
1226,Mailed Check
1227,Bank Transfer(automatic)
1228,Electronic Check
1229,Credit Card (automatic)
1230,Electronic Check
1231,Credit Card (automatic)
1232,Electronic Check
1233,Electronic Check
1234,Mailed Check
1235,Credit Card (automatic)
1236,Mailed Check
1237,Electronic Check
1238,Bank Transfer(automatic)
1239,Credit Card (automatic)
